cert,name,namehcr,city,stalp,zip,bkclass,charter_type,estymd,dateupdt,asset,dep,eq,netinc,roa,roe,regagnt
10039,Lake Federal Savings of Stamford,Lake Federal Savings of Stamford,Stamford,CT,59192,N,Commercial,1939-10-22,2025-03-31,68351,56146,5937,-180,-0.264,-3.032,OCC
10040,Central Nebraska Federal Savings,Central Nebraska Federal Savings,Lincoln,NE,76317,N,Commercial,1996-07-22,2025-03-31,757711,636051,91725,-4294,-0.567,-4.681,OCC
10041,Farmers Bank of Salt Lake City,Farmers Bank of Salt Lake City,Salt Lake City,UT,67091,NM,Commercial,2017-09-25,2025-03-31,2770648,2140152,298078,28670,1.035,9.618,FDIC
10042,Federal Savings Bank of Nashville,Federal Savings Bank of Nashville,Nashville,TN,54608,N,Commercial,1984-04-12,2025-03-31,2453962,1939023,280220,24316,0.991,8.677,OCC
10043,Allied Federal Bank of New Orleans,Allied Federal Bank of New Orleans,New Orleans,LA,63005,NM,Commercial,1974-01-03,2025-03-31,21330,15746,2226,205,0.962,9.209,FDIC
10044,Trust Bank & Trust of Charleston,Trust Bank & Trust of Charleston,Charleston,WV,34267,NM,Commercial,1909-06-04,2025-03-31,92544,72656,9240,557,0.602,6.028,FDIC
10045,Commerce Idaho Banking Group,Commerce Idaho Banking Group,Boise,ID,26551,NM,Commercial,1930-01-02,2025-03-31,897135,678772,82219,1997,0.223,2.429,FDIC
10046,United Texas Banking Group,United Texas Banking Group,Fort Worth,TX,29887,NM,Commercial,1878-10-21,2025-03-31,57268,45132,4757,867,1.515,18.226,FDIC
10047,Southern Federal Bank of Jacksonville,Southern Federal Bank of Jacksonville,Jacksonville,FL,17894,N,Commercial,2010-07-10,2025-03-31,52530,44802,6694,483,0.921,7.215,OCC
10048,Western National Bank of Dallas,Western National Bank of Dallas,Dallas,TX,69510,N,Commercial,1868-04-10,2025-03-31,47659,34135,5391,620,1.303,11.501,OCC
10049,Capital Federal Savings of Sacramento,Capital Federal Savings of Sacramento,Sacramento,CA,84607,NM,Commercial,1875-03-26,2025-03-31,755420,650251,65635,4721,0.625,7.193,FDIC
10050,Atlantic National Bank of Baton Rouge,Atlantic National Bank of Baton Rouge,Baton Rouge,LA,85392,SA,Savings,1883-04-22,2025-03-31,72757,58212,3988,520,0.716,13.039,OCC
10051,First Bank & Trust of Nashville,First Bank & Trust of Nashville,Nashville,TN,23710,NM,Commercial,1949-07-11,2025-03-31,283700,235556,25785,-2432,-0.857,-9.432,FDIC
10052,Farmers Community Bank of Orlando,Farmers Community Bank of Orlando,Orlando,FL,64165,SB,Savings,1860-11-28,2025-03-31,72488,58716,7166,613,0.847,8.554,FDIC
10053,Commerce California Financial,Zions Bancorporation,San Francisco,CA,11792,NM,Commercial,2015-04-23,2025-03-31,755788,536853,66404,-3132,-0.414,-4.717,FDIC
10054,Pacific Pennsylvania National Bank,Pacific Pennsylvania National Bank,Pittsburgh,PA,60277,NM,Commercial,1980-04-15,2025-03-31,2903561,2100706,319108,18509,0.637,5.8,FDIC
10055,Sovereign Federal Bank of Boise,Sovereign Federal Bank of Boise,Boise,ID,29476,N,Commercial,2010-10-22,2025-03-31,2171218,1862907,295404,14168,0.653,4.796,OCC
10056,River New York Banking Group,River New York Banking Group,New York,NY,59968,NM,Commercial,1941-12-16,2025-03-31,669827,593848,93003,10513,1.57,11.304,FDIC
10057,Capital Trust Company of Omaha,Capital Trust Company of Omaha,Omaha,NE,44737,SA,Savings,1899-02-16,2025-03-31,85836,65784,11218,192,0.225,1.712,OCC
10058,Coastal Community Bank of Minneapolis,Citigroup Inc.,Minneapolis,MN,93066,NM,Commercial,1933-04-24,2025-03-31,9952696,7597213,1249701,30800,0.309,2.465,FDIC
10059,United National Bank of Madison,United National Bank of Madison,Madison,WI,60140,N,Commercial,1903-03-03,2025-03-31,130353,112003,13359,1441,1.105,10.787,OCC
10060,Capital Federal Savings of Austin,Capital Federal Savings of Austin,Austin,TX,65615,NM,Commercial,1973-06-19,2025-03-31,343467,257873,27671,4410,1.284,15.937,FDIC
10061,Federal Banking Group of Charleston,Federal Banking Group of Charleston,Charleston,WV,99889,SB,Savings,1961-05-01,2025-03-31,70422,50797,7150,165,0.235,2.308,FDIC
10062,Sovereign Federal Bank of San Francisco,Sovereign Federal Bank of San Francisco,San Francisco,CA,94717,SB,Savings,1895-11-04,2025-03-31,5801541,4328086,540357,81739,1.409,15.127,FDIC
10063,Citizens Arkansas Banking Group,Citizens Arkansas Banking Group,Little Rock,AR,73156,N,Commercial,1929-03-09,2025-03-31,37224,28253,3370,653,1.754,19.377,OCC
10064,Western Savings Bank of Portland,Western Savings Bank of Portland,Portland,ME,69609,N,Commercial,1961-01-09,2025-03-31,178957,159862,22092,2661,1.487,12.045,OCC
10065,Capital Bank & Trust of Kansas City,Capital Bank & Trust of Kansas City,Kansas City,MO,25292,N,Commercial,1978-12-10,2025-03-31,7232293,5400818,962286,-25496,-0.353,-2.65,OCC
10066,National Florida Bank,First Horizon Corp.,Miami,FL,90694,N,Commercial,1899-07-21,2025-03-31,201913,163046,20647,2148,1.064,10.403,OCC
10067,Federal Bank of Reno,Federal Bank of Reno,Reno,NV,22015,SA,Savings,1908-02-28,2025-03-31,78287,68195,9483,605,0.774,6.38,OCC
10068,Commerce Federal Bank of Richmond,Commerce Federal Bank of Richmond,Richmond,VA,10371,N,Commercial,1944-03-26,2025-03-31,63713,46203,5359,347,0.546,6.475,OCC
10069,United Trust Company of New Orleans,United Trust Company of New Orleans,New Orleans,LA,24896,N,Commercial,1873-03-24,2025-03-31,937302,780033,75819,6730,0.718,8.876,OCC
10070,Mountain Banking Group of San Diego,Mountain Banking Group of San Diego,San Diego,CA,65872,NM,Commercial,1867-01-16,2025-03-31,214351,159543,26501,1463,0.683,5.521,FDIC
10071,Pioneer Banking Group of Spokane,Pioneer Banking Group of Spokane,Spokane,WA,22999,NM,Commercial,1935-08-17,2025-03-31,30589,22319,3592,247,0.809,6.876,FDIC
10072,Pioneer Financial of Milwaukee,Wells Fargo & Company,Milwaukee,WI,22219,SB,Savings,1899-11-16,2025-03-31,79186,61983,8229,554,0.7,6.732,FDIC
10073,Pioneer Savings Bank of Jersey City,Pioneer Savings Bank of Jersey City,Jersey City,NJ,23579,SA,Savings,1873-05-20,2025-03-31,714953,580782,74818,6267,0.877,8.376,OCC
10074,Valley South Carolina Federal Savings,Valley South Carolina Federal Savings,Charleston,SC,89822,N,Commercial,2017-11-21,2025-03-31,988432,859021,124301,15342,1.552,12.343,OCC
10075,Northern Virginia Bank & Trust,KeyCorp,Richmond,VA,69460,SA,Savings,1883-12-17,2025-03-31,60499,46596,5359,838,1.386,15.637,OCC
10076,Patriot Minnesota Savings Bank,Patriot Minnesota Savings Bank,Minneapolis,MN,77154,NM,Commercial,2015-08-14,2025-03-31,94395,82753,4216,858,0.909,20.351,FDIC
10077,Merchants Connecticut Community Bank,Merchants Connecticut Community Bank,Stamford,CT,11013,NM,Commercial,1895-05-10,2025-03-31,721946,601688,74877,4925,0.682,6.577,FDIC
10078,Western Ohio Community Bank,Western Ohio Community Bank,Cleveland,OH,93904,NM,Commercial,1940-10-14,2025-03-31,50161,43473,4229,115,0.23,2.719,FDIC
10079,Citizens National Bank of Manchester,Citizens National Bank of Manchester,Manchester,NH,54500,SB,Savings,1994-02-13,2025-03-31,33068427,27235984,4470394,194874,0.589,4.359,FDIC
10080,Farmers Indiana Trust Company,Wells Fargo & Company,Fort Wayne,IN,33218,NM,Commercial,1910-03-20,2025-03-31,656379,578391,81156,3794,0.578,4.675,FDIC
10081,Mountain Banking Group of San Antonio,Mountain Banking Group of San Antonio,San Antonio,TX,46002,SM,Commercial,1980-08-21,2025-03-31,570711,500176,79438,4028,0.706,5.071,FRB
10082,National Savings Bank of Nashville,National Savings Bank of Nashville,Nashville,TN,15376,N,Commercial,2008-09-26,2025-03-31,79233,61306,9403,911,1.151,9.688,OCC
10083,Sovereign Federal Bank of New York,Sovereign Federal Bank of New York,New York,NY,67595,NM,Commercial,1870-04-23,2025-03-31,82341,73410,10593,275,0.335,2.596,FDIC
10084,Valley Oklahoma Federal Bank,Valley Oklahoma Federal Bank,Tulsa,OK,96057,NM,Commercial,1958-05-09,2025-03-31,57079,48796,4745,415,0.728,8.746,FDIC
10085,United Texas Trust Company,United Texas Trust Company,Houston,TX,99838,SA,Savings,1944-03-22,2025-03-31,248298,189214,29728,833,0.336,2.802,OCC
10086,Heritage Community Bank of Tulsa,Heritage Community Bank of Tulsa,Tulsa,OK,79013,N,Commercial,1885-09-25,2025-03-31,60483,44929,6603,195,0.323,2.953,OCC
10087,Capital Savings Bank of Tucson,Capital Savings Bank of Tucson,Tucson,AZ,68841,NM,Commercial,1920-08-20,2025-03-31,726258,531947,91701,6538,0.9,7.13,FDIC
10088,River Iowa Federal Savings,BOK Financial Corp.,Des Moines,IA,28140,SA,Savings,1967-03-27,2025-03-31,8868776,6552280,1013037,128153,1.445,12.65,OCC
10089,National Banking Group of Topeka,National Banking Group of Topeka,Topeka,KS,55820,SM,Commercial,1883-04-27,2025-03-31,207573,166718,17650,2120,1.021,12.011,FRB
10090,Pacific Arizona Bank,Pacific Arizona Bank,Phoenix,AZ,71487,SA,Savings,1933-08-23,2025-03-31,70615,54725,9593,1035,1.466,10.789,OCC
10091,Coastal Bank of New York,Coastal Bank of New York,New York,NY,18232,SB,Savings,1967-11-26,2025-03-31,48266,39083,5389,-715,-1.481,-13.268,FDIC
10092,Northern Banking Group of Stamford,Northern Banking Group of Stamford,Stamford,CT,81313,NM,Commercial,1994-06-03,2025-03-31,87551,73867,7012,437,0.5,6.232,FDIC
10093,Southern Financial of Columbus,Southern Financial of Columbus,Columbus,OH,27486,N,Commercial,1886-10-24,2025-03-31,81621,63450,10189,478,0.586,4.691,OCC
10094,Merchants Arkansas Financial,Merchants Arkansas Financial,Little Rock,AR,15492,SB,Savings,1935-04-02,2025-03-31,970720,769707,114451,13996,1.442,12.229,FDIC
10095,Sovereign Bank & Trust of Worcester,Sovereign Bank & Trust of Worcester,Worcester,MA,60678,NM,Commercial,1954-07-13,2025-03-31,82884346,58626099,8053594,1035366,1.249,12.856,FDIC
10096,Patriot Banking Group of Minneapolis,Patriot Banking Group of Minneapolis,Minneapolis,MN,88986,N,Commercial,1943-11-10,2025-03-31,88062,63098,9320,590,0.67,6.33,OCC
10097,Pacific Trust Company of Cheyenne,Pacific Trust Company of Cheyenne,Cheyenne,WY,99051,SM,Commercial,1963-06-17,2025-03-31,25551,22544,2710,74,0.292,2.731,FRB
10098,First Trust Company of Orlando,First Trust Company of Orlando,Orlando,FL,85225,N,Commercial,1954-06-15,2025-03-31,559457,399142,57053,6535,1.168,11.454,OCC
10099,Valley Florida Savings Bank,Valley Florida Savings Bank,Miami,FL,74382,SA,Savings,1914-10-10,2025-03-31,361736,255089,40176,5208,1.44,12.963,OCC
10100,Pioneer Trust Company of Chicago,Pioneer Trust Company of Chicago,Chicago,IL,93584,NM,Commercial,1936-03-23,2025-03-31,848022,608505,110862,2577,0.304,2.325,FDIC
10101,Southern Savings Bank of Savannah,Southern Savings Bank of Savannah,Savannah,GA,72739,SB,Savings,1882-02-10,2025-03-31,46342,34633,4710,821,1.773,17.431,FDIC
10102,Pacific Community Bank of Tulsa,Pacific Community Bank of Tulsa,Tulsa,OK,17263,SM,Commercial,1893-07-17,2025-03-31,61553,48626,6196,753,1.224,12.153,FRB
10103,Valley Delaware Trust Company,PNC Financial Services,Wilmington,DE,87569,NM,Commercial,1937-10-18,2025-03-31,49552,44011,6479,535,1.081,8.257,FDIC
10104,Liberty Trust Company of Sioux Falls,Liberty Trust Company of Sioux Falls,Sioux Falls,SD,13969,NM,Commercial,1913-10-14,2025-03-31,734534,649905,96831,10530,1.434,10.875,FDIC
10105,Allied Ohio Financial,Allied Ohio Financial,Cleveland,OH,51853,N,Commercial,1947-10-05,2025-03-31,74819756,64454964,8021624,647186,0.865,8.068,OCC
10106,Community Trust Company of St. Paul,Community Trust Company of St. Paul,St. Paul,MN,85718,NM,Commercial,1923-03-27,2025-03-31,211341,167655,20051,1721,0.815,8.583,FDIC
10107,Commerce Trust Company of Worcester,Commerce Trust Company of Worcester,Worcester,MA,95755,SB,Savings,1932-08-20,2025-03-31,622987,498061,64538,-9760,-1.567,-15.123,FDIC
10108,Mountain Bank & Trust of Seattle,Mountain Bank & Trust of Seattle,Seattle,WA,82070,N,Commercial,1933-02-13,2025-03-31,8229768,6196147,419498,90437,1.099,21.558,OCC
10109,Northern Federal Bank of New Orleans,Northern Federal Bank of New Orleans,New Orleans,LA,72094,NM,Commercial,1871-01-05,2025-03-31,32672,28064,4454,331,1.015,7.432,FDIC
10110,Atlantic Trust Company of Oklahoma City,Atlantic Trust Company of Oklahoma City,Oklahoma City,OK,12180,SA,Savings,1985-12-19,2025-03-31,443897,339006,51931,4490,1.012,8.646,OCC
10111,Farmers National Bank of Kansas City,Farmers National Bank of Kansas City,Kansas City,MO,32349,SB,Savings,1918-12-02,2025-03-31,935457,817982,108339,16419,1.755,15.155,FDIC
10112,Plains Federal Bank of Tulsa,Plains Federal Bank of Tulsa,Tulsa,OK,18163,N,Commercial,2016-08-28,2025-03-31,51745,46034,4198,675,1.305,16.079,OCC
10113,Liberty Wisconsin Financial,Capital One Financial Corp.,Madison,WI,46569,NM,Commercial,1927-10-16,2025-03-31,82701,63080,11142,1186,1.435,10.644,FDIC
10114,Citizens Federal Savings of Providence,Citizens Federal Savings of Providence,Providence,RI,61712,SM,Commercial,2006-11-18,2025-03-31,48789478,40887923,5307719,660933,1.355,12.452,FRB
10115,Eastern Minnesota Trust Company,Eastern Minnesota Trust Company,St. Paul,MN,41363,NM,Commercial,1895-02-20,2025-03-31,30358,23936,3301,513,1.693,15.541,FDIC
10116,National Kansas Financial,M&T Bank Corporation,Wichita,KS,52096,NM,Commercial,1981-08-21,2025-03-31,33133,27946,1425,558,1.687,39.158,FDIC
10117,Plains Bank of Baton Rouge,Plains Bank of Baton Rouge,Baton Rouge,LA,47941,N,Commercial,1869-07-26,2025-03-31,95252,80748,7833,1467,1.54,18.728,OCC
10118,First Bank & Trust of Tucson,First Bank & Trust of Tucson,Tucson,AZ,94972,N,Commercial,1888-06-06,2025-03-31,63914,57383,7007,606,0.949,8.648,OCC
10119,Central Kansas Trust Company,Central Kansas Trust Company,Topeka,KS,42512,NM,Commercial,1884-03-05,2025-03-31,58669,49954,7707,-300,-0.511,-3.893,FDIC
10120,Federal Alabama Community Bank,Federal Alabama Community Bank,Birmingham,AL,50760,NM,Commercial,1963-11-17,2025-03-31,445637,376374,53129,1734,0.389,3.264,FDIC
10121,Pioneer West Virginia Bank & Trust,Pioneer West Virginia Bank & Trust,Charleston,WV,20730,NM,Commercial,1915-04-22,2025-03-31,37507,29667,3841,529,1.412,13.772,FDIC
10122,Atlantic Financial of Tulsa,Atlantic Financial of Tulsa,Tulsa,OK,76895,N,Commercial,1912-12-19,2025-03-31,93946,81334,8655,1472,1.567,17.008,OCC
10123,Southern Bank of New York,Southern Bank of New York,New York,NY,18357,NM,Commercial,1878-01-14,2025-03-31,578987,469998,34845,1185,0.205,3.401,FDIC
10124,National National Bank of Philadelphia,National National Bank of Philadelphia,Philadelphia,PA,96742,NM,Commercial,1956-07-03,2025-03-31,401036,342402,55623,7172,1.789,12.894,FDIC
10125,Liberty Pennsylvania Savings Bank,Huntington Bancshares,Philadelphia,PA,55371,NM,Commercial,1996-07-27,2025-03-31,1788173960,1512029166,83473223,22845706,1.278,27.369,FDIC
10126,Federal Federal Savings of Jacksonville,Federal Federal Savings of Jacksonville,Jacksonville,FL,16380,N,Commercial,1974-10-22,2025-03-31,218326,181655,29730,671,0.308,2.257,OCC
10127,Western Bank of Wichita,Western Bank of Wichita,Wichita,KS,96535,SB,Savings,1942-04-10,2025-03-31,48477,41458,6767,543,1.122,8.024,FDIC
10128,Trust Oklahoma Community Bank,Trust Oklahoma Community Bank,Oklahoma City,OK,29558,SB,Savings,1994-06-23,2025-03-31,97550,86069,10304,1664,1.707,16.149,FDIC
10129,Community Trust Company of Baltimore,Wells Fargo & Company,Baltimore,MD,68954,N,Commercial,1959-04-09,2025-03-31,990598,863314,43913,8582,0.866,19.543,OCC
10130,Heritage Financial of Kansas City,Heritage Financial of Kansas City,Kansas City,MO,12009,NM,Commercial,1913-06-10,2025-03-31,55187,45308,4655,703,1.274,15.102,FDIC
10131,Sovereign Federal Savings of Indianapolis,Sovereign Federal Savings of Indianapolis,Indianapolis,IN,75179,SA,Savings,1951-05-09,2025-03-31,82773,69456,8591,540,0.653,6.286,OCC
10132,Pioneer Banking Group of Albany,Capital One Financial Corp.,Albany,NY,59786,NM,Commercial,1966-05-05,2025-03-31,46624,36496,4348,790,1.696,18.169,FDIC
10133,Northern Federal Savings of Columbia,Northern Federal Savings of Columbia,Columbia,SC,81058,NM,Commercial,1895-12-18,2025-03-31,818113,697582,100966,11228,1.372,11.121,FDIC
10134,National Utah Financial,National Utah Financial,Salt Lake City,UT,73334,SB,Savings,2018-11-22,2025-03-31,1813936,1419365,170303,18305,1.009,10.748,FDIC
10135,Mountain Virginia Bank,Mountain Virginia Bank,Richmond,VA,41584,N,Commercial,1905-02-04,2025-03-31,112426,94936,10927,999,0.889,9.142,OCC
10136,Coastal Idaho Financial,Coastal Idaho Financial,Boise,ID,82443,N,Commercial,1868-02-13,2025-03-31,72022,64233,6812,-1051,-1.46,-15.429,OCC
10137,National Bank of Charlotte,Wells Fargo & Company,Charlotte,NC,99709,SM,Commercial,2005-08-09,2025-03-31,76873,58904,10641,436,0.568,4.097,FRB
10138,Allied Financial of New Orleans,Allied Financial of New Orleans,New Orleans,LA,53480,N,Commercial,2005-07-22,2025-03-31,61220,45390,7912,415,0.679,5.245,OCC
10139,Eastern Trust Company of Omaha,Eastern Trust Company of Omaha,Omaha,NE,69054,NM,Commercial,1961-06-01,2025-03-31,182237,163077,19358,2606,1.43,13.462,FDIC
10140,Trust Savings Bank of Fargo,Trust Savings Bank of Fargo,Fargo,ND,23965,SM,Commercial,1899-12-13,2025-03-31,44345,36900,5193,146,0.331,2.811,FRB
10141,First Bank & Trust of Denver,First Bank & Trust of Denver,Denver,CO,48253,N,Commercial,2013-06-28,2025-03-31,207197,152803,23472,-4045,-1.953,-17.233,OCC
10142,Community National Bank of Reno,Community National Bank of Reno,Reno,NV,57333,NM,Commercial,1967-05-16,2025-03-31,354533,260197,31316,1067,0.301,3.407,FDIC
10143,Trust Banking Group of Topeka,Trust Banking Group of Topeka,Topeka,KS,36326,N,Commercial,2012-03-10,2025-03-31,34021,23860,4439,307,0.904,6.916,OCC
10144,Farmers Trust Company of Raleigh,Farmers Trust Company of Raleigh,Raleigh,NC,33583,SM,Commercial,2004-04-19,2025-03-31,49117508,40599573,6233918,715831,1.457,11.483,FRB
10145,Eastern Washington Financial,Eastern Washington Financial,Spokane,WA,65460,N,Commercial,1937-04-09,2025-03-31,842776,724397,70919,10760,1.277,15.172,OCC
10146,Heritage Banking Group of Billings,Capital One Financial Corp.,Billings,MT,96193,NM,Commercial,2012-11-03,2025-03-31,520274,460285,34384,6881,1.323,20.012,FDIC
10147,Merchants Trust Company of Norfolk,Merchants Trust Company of Norfolk,Norfolk,VA,70694,SA,Savings,2007-04-15,2025-03-31,72378,55464,6250,1009,1.395,16.144,OCC
10148,Lake Washington Financial,Lake Washington Financial,Seattle,WA,22795,N,Commercial,1912-09-16,2025-03-31,2173486033,1702263579,189015387,15193200,0.699,8.038,OCC
10149,Western New Mexico Banking Group,Western New Mexico Banking Group,Albuquerque,NM,40389,N,Commercial,1944-09-14,2025-03-31,35084,26966,4490,359,1.026,7.996,OCC
10150,Plains Nevada Trust Company,Plains Nevada Trust Company,Las Vegas,NV,80371,N,Commercial,1876-10-04,2025-03-31,514798,423586,59475,2724,0.529,4.58,OCC
10151,Merchants Hawaii Savings Bank,U.S. Bancorp,Honolulu,HI,51049,NM,Commercial,1936-10-19,2025-03-31,84157,69666,9819,1306,1.553,13.301,FDIC
10152,Trust Delaware Bank & Trust,Trust Delaware Bank & Trust,Wilmington,DE,28388,NM,Commercial,1904-09-06,2025-03-31,38528,30192,3969,504,1.309,12.698,FDIC
10153,Farmers Banking Group of Honolulu,JPMorgan Chase & Co.,Honolulu,HI,38905,NM,Commercial,1973-08-06,2025-03-31,1160783,857848,131975,11454,0.987,8.679,FDIC
10154,National Maine Bank & Trust,National Maine Bank & Trust,Portland,ME,81611,NM,Commercial,1998-01-25,2025-03-31,79942,68311,8845,854,1.069,9.655,FDIC
10155,Pacific National Bank of Indianapolis,Pacific National Bank of Indianapolis,Indianapolis,IN,55957,N,Commercial,1920-04-26,2025-03-31,359555,323550,36284,6437,1.79,17.741,OCC
10156,Coastal Wisconsin Community Bank,Coastal Wisconsin Community Bank,Madison,WI,99037,SB,Savings,2006-05-28,2025-03-31,47082,40541,5270,831,1.766,15.769,FDIC
